LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,Class
180000,2,2,2,2,2,2,1
150000,0,0,0,0,2,2,1
420000,2,2,2,2,2,0,1
260000,0,0,0,0,0,0,1
10000,2,2,4,4,4,4,1
230000,0,0,0,0,0,0,1
80000,3,2,2,2,2,2,1
160000,0,2,0,0,0,0,1
60000,3,2,2,7,7,6,1
20000,3,2,2,3,2,2,1
30000,3,2,2,3,3,3,1
490000,2,2,2,2,2,2,1
50000,2,3,2,2,2,2,1
20000,2,2,2,2,2,2,1
500000,0,0,0,0,0,0,1
360000,1,2,2,2,2,2,1
100000,2,2,2,2,2,2,1
240000,1,2,2,2,2,2,1
360000,1,2,2,2,2,2,1
210000,2,2,2,2,2,2,1
30000,1,3,2,2,2,2,1
200000,2,2,2,2,2,2,1
50000,3,2,2,2,2,0,1
50000,1,2,2,2,2,2,1
290000,1,2,0,0,0,2,1
100000,2,2,2,2,2,2,1
160000,2,2,2,2,2,2,1
130000,2,2,2,2,2,2,1
30000,1,2,2,2,2,2,1
220000,0,0,0,0,0,0,1
180000,2,2,2,2,2,0,1
200000,0,2,2,0,0,2,1
60000,0,2,2,0,0,2,1
230000,0,0,0,0,0,0,1
50000,3,3,4,3,2,5,1
160000,2,2,2,2,2,2,1
740000,2,0,0,0,0,0,1
150000,0,0,0,0,0,0,1
240000,0,2,0,0,0,0,1
360000,1,2,2,2,2,2,1
120000,0,0,0,0,0,0,1
130000,1,2,0,0,0,2,1
180000,0,0,0,0,0,0,1
80000,4,3,2,2,2,2,1
210000,1,0,0,0,0,2,1
240000,1,2,2,2,2,2,1
70000,2,2,2,2,2,2,1
60000,0,0,0,0,0,0,1
10000,1,2,2,2,2,2,1
210000,1,2,2,2,0,0,1
300000,1,2,2,0,2,0,1
20000,1,2,2,2,2,2,1
160000,1,2,2,2,2,2,1
300000,0,0,0,0,0,0,1
20000,0,0,2,2,2,2,1
90000,0,0,0,0,0,2,1
60000,0,0,0,0,0,0,1
100000,0,0,0,0,0,2,1
70000,2,2,2,2,2,2,1
80000,2,2,4,4,3,2,1
180000,2,2,2,2,2,2,1
20000,2,2,2,2,2,2,1
80000,0,2,0,0,0,0,1
290000,2,2,2,2,2,2,1
80000,2,2,0,2,2,2,1
150000,0,0,0,2,2,2,1
360000,0,0,2,2,2,2,1
360000,0,0,2,2,2,2,1
20000,1,2,2,2,2,2,1
20000,2,3,2,2,3,2,1
130000,1,2,0,0,0,0,1
360000,2,2,2,2,2,2,1
210000,0,0,0,0,0,0,1
50000,2,2,2,2,2,3,1
50000,1,2,2,2,2,2,1
460000,2,2,5,5,5,5,1
120000,2,2,2,2,2,2,1
170000,2,2,2,2,2,2,1
500000,2,2,2,2,2,2,1
80000,2,2,3,2,3,2,1
200000,1,2,2,2,2,2,1
10000,2,2,2,0,0,0,1
80000,0,0,2,2,0,0,1
40000,2,2,2,2,2,2,1
30000,2,2,2,2,2,2,1
200000,0,2,2,2,2,2,1
160000,0,0,0,0,0,0,1
150000,0,0,0,0,0,0,1
180000,0,0,0,0,0,2,1
20000,3,2,2,7,7,7,1
80000,1,2,2,2,2,2,1
50000,0,2,2,2,2,2,1
50000,2,3,2,2,2,2,1
450000,2,2,2,2,2,2,1
90000,2,2,2,2,2,2,1
70000,2,2,2,2,3,2,1
80000,0,0,0,0,0,0,1
180000,1,0,0,0,0,0,1
280000,0,0,2,0,0,0,1
50000,3,2,2,2,2,2,1
220000,4,3,2,2,2,2,1
360000,1,2,2,2,2,2,1
140000,3,2,2,2,0,0,1
30000,4,3,2,2,2,2,1
140000,2,2,2,2,2,2,1
200000,3,2,2,2,2,2,1
200000,1,2,2,2,2,2,1
80000,0,0,2,0,0,0,1
360000,1,2,2,2,2,2,1
460000,2,0,0,0,0,0,1
220000,0,0,0,2,2,2,1
360000,0,0,2,2,0,0,1
390000,2,2,2,2,0,0,1
20000,3,2,2,2,2,2,1
360000,1,2,2,2,2,2,1
230000,1,2,2,2,2,2,1
100000,0,0,0,0,0,0,1
210000,2,2,2,2,2,2,1
80000,2,2,2,2,2,2,1
50000,2,2,2,2,2,2,1
240000,0,0,0,0,0,0,1
120000,1,1,2,2,2,2,1
30000,2,2,2,2,2,2,1
30000,0,2,2,3,2,2,1
400000,0,0,0,0,2,2,1
200000,1,2,2,2,2,2,1
20000,1,2,2,2,2,2,1
310000,2,2,2,2,2,2,1
150000,1,2,2,0,0,2,1
180000,0,0,0,0,0,2,1
50000,1,2,2,2,2,2,1
210000,0,0,0,0,0,0,1
30000,2,2,2,3,3,4,1
230000,1,2,0,0,0,0,1
20000,0,2,2,2,2,2,1
120000,1,2,2,2,2,2,1
160000,0,0,0,0,0,0,1
50000,2,2,2,2,2,2,1
80000,0,0,0,0,0,0,1
90000,1,2,2,2,2,2,1
30000,1,5,4,3,2,2,1
360000,1,2,2,2,2,2,1
10000,2,2,7,7,7,7,1
30000,0,0,0,0,0,0,1
300000,0,0,0,0,0,0,1
110000,2,2,2,2,2,2,1
270000,2,2,2,2,2,2,1
10000,2,2,7,7,7,6,1
260000,0,0,0,0,0,0,1
30000,0,0,0,0,0,0,1
60000,0,0,0,0,0,0,1
130000,1,0,0,2,0,0,1
60000,1,2,3,4,4,3,1
80000,0,0,0,2,2,2,1
200000,1,2,2,2,2,0,1
170000,2,2,2,2,2,2,1
290000,1,0,0,0,2,2,1
30000,1,2,2,2,2,0,1
350000,2,2,7,7,7,7,1
100000,1,2,2,2,2,2,1
30000,2,2,2,2,2,2,1
280000,0,0,0,0,0,0,1
30000,2,2,2,2,2,2,1
20000,1,0,0,2,2,2,1
300000,1,2,2,2,2,2,1
200000,1,2,2,2,2,2,1
220000,1,2,2,2,2,2,1
120000,0,0,0,0,0,2,1
210000,3,2,2,2,2,2,1
20000,1,2,2,2,2,2,1
320000,2,4,3,2,2,2,1
70000,2,2,2,2,2,2,1
120000,1,2,2,2,2,2,1
130000,0,2,2,2,0,0,1
20000,2,2,0,0,2,2,1
20000,2,2,2,2,4,3,1
200000,2,2,2,2,2,2,1
10000,3,2,2,7,7,7,1
460000,2,2,2,2,2,2,1
290000,2,2,2,2,2,2,1
130000,2,2,2,2,2,2,1
40000,1,0,2,2,2,2,1
360000,1,0,0,0,0,0,1
